0.191126,1.868,0.316669
0.542398,4.08686,1.12813
1.12869,6.69977,2.43474
1.84721,9.59068,4.23682
2.56198,12.2933,6.53389
3.27142,14.779,9.3264
3.96109,17.113,12.6143
5.13294,19.6717,16.397
5.93832,22.8456,20.6753
6.47325,26.1486,25.4484
0.232529,2.00848,0.31669
0.159176,1.89406,0.225248
0.562977,4.27301,0.831023
1.24301,7.18928,1.81768
1.84688,10.0465,3.18535
2.70002,12.8776,4.93398
3.75084,16.6252,7.06335
4.58378,19.1998,9.57425
5.36045,22.3268,12.4656
6.3375,24.6089,15.7382
6.95041,26.5363,19.3914
