s_time,ctime,t_time,comsize,c1s1,
0.349196,0.260319,0.748183,0.316662,
1.096990,0.739371,2.010230,1.128100,
2.258690,1.467170,3.936070,2.434860,
3.680690,2.437170,6.361190,4.236840,
5.614480,3.679260,9.574710,6.533820,
7.885740,5.049200,13.251900,9.326520,
10.569600,6.654770,17.590400,12.614200,
13.601900,8.041850,22.061600,16.397000,
16.983000,9.219800,26.683300,20.675600,
20.736800,11.032200,32.323600,25.448500,

s_time,ctime,t_time,comsize,c2s8,
0.136132,0.167032,0.446693,0.316698,
0.391724,0.508003,1.083210,1.128120,
0.762085,0.959653,1.941510,2.434890,
1.276990,1.557670,3.089450,4.236690,
1.723980,2.287250,4.303270,6.533820,
3.023290,3.141010,6.497220,9.326450,
3.156730,4.108630,7.638720,12.614200,
5.116150,5.267760,10.803900,16.397100,
5.057740,6.486280,12.018000,20.675200,
6.091760,7.850290,14.470000,25.448800,

s_time,ctime,t_time,comsize,c4s16,
0.147867,0.124242,0.415203,0.316699,
0.386078,0.347399,0.916610,1.128090,
0.723425,0.677147,1.624910,2.434780,
1.203590,1.077210,2.541420,4.236730,
1.695870,1.571870,3.565000,6.534020,
2.296490,2.164070,4.793160,9.326560,
2.917490,2.742140,6.040110,12.614300,
3.744550,3.490570,7.658170,16.396900,
4.545450,4.301540,9.322010,20.675200,
5.442770,5.184540,11.164200,25.448900,

