0.116677,0.412544,0.225271
0.363157,0.916014,0.83097
0.73499,1.75242,1.81767
1.26837,2.66259,3.18522
1.77778,3.61729,4.93399
2.3835,5.03542,7.06348
3.19237,6.63691,9.57384
4.02318,8.45944,12.4656
4.97023,10.0011,15.7381
5.99113,11.1708,19.3915
0.121698,0.406672,0.225228
0.384776,0.992703,0.830958
0.756144,1.69834,1.81771
1.22542,2.54061,3.18528
1.8114,3.83084,4.93403
2.45196,4.90572,7.06358
3.1702,6.39278,9.57407
4.03522,7.72971,12.4656
4.9745,10.4777,15.7381
6.04135,11.2533,19.3915
0.115377,0.406592,0.225276
0.388823,0.987801,0.830998
0.747158,1.77657,1.81763
1.24853,2.78969,3.1853
1.80039,3.84277,4.93401
2.44875,4.86005,7.06361
3.52145,7.11026,9.5741
4.03017,8.51218,12.4655
4.97036,10.457,15.7381
5.99299,12.5157,19.3913
0.120026,0.417285,0.225266
0.379954,0.917417,0.830935
0.759398,1.7202,1.81773
1.21398,2.62808,3.18542
1.78953,3.5697,4.93403
2.43092,5.14942,7.06347
3.17942,6.20995,9.57368
3.95827,7.89528,12.4656
4.96983,10.5702,15.7379
6.01562,12.8087,19.3914
0.126846,0.423474,0.225257
0.379641,0.94237,0.831007
0.72807,1.71508,1.81763
1.19138,2.5634,3.18524
1.76384,3.55395,4.93399
2.403,4.83859,7.06364
3.28403,6.71138,9.57418
4.04848,8.43571,12.4655
4.99829,9.781,15.7381
6.02486,12.3641,19.3913
